prefix,recordingId,trackId_1,trackId_2,class_1,class_2,pair_type,start_frame,end_frame,peak_frame,start_time_sec,end_time_sec,peak_time_sec,min_distance,min_ttc,min_dcpa,max_rel_speed,risk_score_peak,dist_threshold_used,ttc_threshold_used,dcpa_threshold_used,min_rel_speed_threshold_used,min_lon_acc_1,min_lon_acc_2,max_heading_change_1,max_heading_change_2,num_candidate_frames,egoTrackId,ego_speed_mps_peak,ego_speed_kph_peak,event_id,clip_file,clip_start_frame,clip_end_frame,clip_num_frames,clip_duration_sec,otherTrackId,egoClass,otherClass,ego_speed_at_peak_mps,ego_speed_at_peak_kph,ego_mean_speed_in_clip_mps,ego_min_speed_in_clip_mps,ego_max_speed_in_clip_mps,ego_mean_speed_in_clip_kph,ego_min_speed_in_clip_kph,ego_max_speed_in_clip_kph,other_distance_to_ego_at_peak,other_rel_speed_to_ego_at_peak,num_context_objects,num_primary_objects
09,9,379,382,truck,truck,vehicle_vehicle,14322,14325,14325,572.88,573.0,573.0,0.16631948172117694,0.117813384188726,0.02752481063025851,1.3929464921525159,0.9773579182190495,15.0,3.0,3.5,0.8,1.5111,-0.597,11.283499999999947,5.1875,4,382,4.464717107499645,16.072981586998722,09_379_382_14325_ego_382,clips/09/09_event_0081_pair_379_382_peak_14325_ego_382.csv,14250,14400,151,6.04,379,truck,truck,4.464717107499645,16.072981586998722,5.7069947526933955,4.103927018113261,6.842797273776274,20.545181109696223,14.77413726520774,24.634070185594585,0.16631948172117694,1.392253356972071,5,2
18,18,5,281,motorcycle,car,vehicle_cyclist,10101,10105,10105,404.04,404.2,404.2,0.1848161248376292,0.011080616203240893,0.18466406484100045,0.676455379164066,0.9696421115202638,12.0,3.5,2.5,0.5,1.6264,1.1977,39.39949999999999,54.10389999999998,5,281,11.346105406261657,40.84597946254197,18_5_281_10105_ego_281,clips/18/18_event_0002_pair_5_281_peak_10105_ego_281.csv,10030,10180,151,6.04,5,car,motorcycle,11.346105406261657,40.84597946254197,9.6811689417328,7.411107562301333,13.237942481367716,34.85220819023808,26.679987224284798,47.65659293292378,0.1848161248376292,0.676455379164066,4,2
17,17,383,405,car,truck,vehicle_vehicle,14179,14232,14232,567.16,569.28,569.28,0.2862870063415445,0.019330872901681288,0.014666251630091174,3.771452405904123,0.9655685774329783,15.0,3.0,3.5,0.8,0.1457,-1.0451,31.224300000000085,32.119500000000016,54,405,5.85416695354685,21.07500103276866,17_383_405_14232_ego_405,clips/17/17_event_0092_pair_383_405_peak_14232_ego_405.csv,14157,14307,151,6.04,383,truck,car,5.85416695354685,21.07500103276866,6.868883864932137,5.5731971883291545,9.818532730505103,24.727981913755695,20.063509877984956,35.346717829818374,0.2862870063415445,3.7124388547153213,4,2
18,18,5,281,motorcycle,car,vehicle_cyclist,10134,10136,10136,405.36,405.44,405.44,0.3212337778005301,0.03885653035469242,0.31535077822083535,0.7085041778281904,0.9448429937928231,12.0,3.5,2.5,0.5,-1.1225,1.4998,19.850300000000033,28.434799999999996,3,5,13.300283742086105,47.88102147150998,18_5_281_10136_ego_5,clips/18/18_event_0003_pair_5_281_peak_10136_ego_5.csv,10061,10211,151,6.04,281,motorcycle,car,13.300283742086105,47.88102147150998,11.290124993126186,7.880380545379773,13.514455622406697,40.64444997525427,28.369369963367184,48.65204024066411,0.3212337778005301,0.7085041778281904,3,2
17,17,370,405,car,truck,vehicle_vehicle,13845,13893,13893,553.8,555.72,555.72,0.6548280155888246,0.03350395389177816,0.6492309917826292,6.618066020371813,0.9211488150819056,15.0,3.0,3.5,0.8,-0.0277,-3.9803,9.53630000000004,13.070299999999975,49,405,3.1032808848056272,11.171811185300259,17_370_405_13893_ego_405,clips/17/17_event_0080_pair_370_405_peak_13893_ego_405.csv,13818,13968,151,6.04,370,truck,car,3.1032808848056272,11.171811185300259,3.7731995625255728,0.9513610565920806,6.6062655411359295,13.583518425092063,3.42489980373149,23.782555948089346,0.6548280155888246,2.125169442656279,7,2
17,17,381,405,truck,truck,vehicle_vehicle,13836,13843,13843,553.44,553.72,553.72,0.7502132030296425,0.014212408129422557,0.7495574186047173,2.206608565196827,0.912909554213053,15.0,3.0,3.5,0.8,-0.7971,-3.9803,1.374300000000062,4.4572,8,405,2.181642099428777,7.853911557943597,17_381_405_13843_ego_405,clips/17/17_event_0089_pair_381_405_peak_13843_ego_405.csv,13768,13918,151,6.04,381,truck,truck,2.181642099428777,7.853911557943597,2.9341339616654287,0.9513610565920806,6.6062655411359295,10.562882261995544,3.42489980373149,23.782555948089346,0.7502132030296425,2.206608565196827,6,2
18,18,5,281,motorcycle,car,vehicle_cyclist,9937,9937,9937,397.48,397.48,397.48,0.3110119772613241,0.4762843173387262,0.16967114442117662,0.547264122704933,0.9098259517402723,12.0,3.5,2.5,0.5,0.1533,0.5298,10.010899999999992,3.9805000000000064,1,5,6.677185216841001,24.037866780627603,18_5_281_9937_ego_5,clips/18/18_event_0001_pair_5_281_peak_9937_ego_5.csv,9862,10012,151,6.04,281,motorcycle,car,6.677185216841001,24.037866780627603,5.934981031762168,1.9579159966658428,7.445678753478423,21.365931714343805,7.048497587997034,26.804443512522322,0.3110119772613241,0.547264122704933,4,2
20,20,11,128,motorcycle,car,vehicle_cyclist,4554,4559,4559,182.16,182.36,182.36,0.49238847468233615,0.5370520787041194,0.21242806978845702,0.7828572539103157,0.8868644214040686,12.0,3.5,2.5,0.5,0.6939,0.7724,19.531900000000007,56.93830000000003,6,128,7.747603697918473,27.891373312506502,20_11_128_4559_ego_128,clips/20/20_event_0002_pair_11_128_peak_4559_ego_128.csv,4484,4634,151,6.04,11,car,motorcycle,7.747603697918473,27.891373312506502,6.750721748426982,6.41843773670821,7.747603697918473,24.302598294337137,23.106375852149558,27.891373312506502,0.49238847468233615,0.7828572539103157,3,2
17,17,370,405,car,truck,vehicle_vehicle,13981,14011,14011,559.24,560.44,560.44,1.15210505163374,0.03452533625050098,1.1496707384365137,2.1681125270612682,0.8644927250303236,15.0,3.0,3.5,0.8,0.2535,-0.4926,27.82499999999999,16.0908,31,405,4.6137090859741035,16.609352709506773,17_370_405_14011_ego_405,clips/17/17_event_0081_pair_370_405_peak_14011_ego_405.csv,13936,14086,151,6.04,370,truck,car,4.6137090859741035,16.609352709506773,4.736544111373247,4.4158913324492035,5.344612483613756,17.05155880094369,15.897208796817132,19.240604941009522,1.15210505163374,2.1681125270612682,5,2
19,19,0,1,bicycle,bicycle,cyclist_cyclist,18884,18903,18898,755.36,756.12,755.92,0.5367992268995947,1.2281914365427644,0.03085357454322931,0.5647752473329546,0.796160368850688,10.0,3.0,2.0,0.3,-0.2937,-0.2554,8.310399999999959,11.960700000000116,20,1,4.660576515840074,16.778075457024265,19_0_1_18898_ego_1,clips/19/19_event_0000_pair_0_1_peak_18898_ego_1.csv,18823,18973,151,6.04,0,bicycle,bicycle,4.660576515840074,16.778075457024265,4.791723351220357,4.554606750313357,4.979690014448691,17.250204064393287,16.396584301128087,17.92688405201529,0.6616373175690807,0.5378906673293375,6,2
